Standard_Bangla,English_translation
জায়গায় জায়গায় শব্দ করে ভেঙ্গে পরে,It breaks apart making noise in places.
যমুনার বুক ভরে পানি,The Yamuna river is full of water.
পদ্মার পানির স্রোতের চলে,The current of the Padma River flows.
কি সুন্দর কখন হাঁটে থাকি কখন চলে,"Sometimes I walk, sometimes I leave."
কি সুন্দর বাতাসের শব্দ,How beautiful the sound of the wind!
নজরুলের মত আমার মাথার চুল,My hair is like Nazrul's.
হাঁটে হাঁটে অনেক দূরে পর্যন্ত চলে যাই,"I walk and walk, going far and far away."
হঠাৎ খেয়াল হয় থেকে যাই,Suddenly I realize I'm left behind.
ফিরে আসতে থাকি ঘাটের দিকে,We started returning towards the ghat.
সামনে কোন কিছু নেই,There is nothing ahead.
ছোট সাইনবোর্ড লাগাবো,I will put up small signs.
হোটেল ঘাটের দিকে থেকে সবার শেষে,"From the end, towards the hotel pier."
অনেক দূরে এবং নিরিবিলি,Far away and secluded
নদীর কূলের একটা বড় খাবার দোকানে,At a large food stall by the riverbank.
লাবণ্য নাম আমার সব সময় প্রিয়,Labanya is a name I've always loved.
শেষের কবিতা অনেক বার পড়,Read the last poem many times.
অনেক বার আমি লাবণ্যের প্রেমে,Many times I have fallen in love with Labanya.
আজ এই নামে প্রেমে পড়েছে,"Today, someone fell in love with this name."
ভিতরে একটা পুরাতন জায়গায় একটা লোক আছে,There is a man in an old place inside.
মনে হচ্ছে সে মালিক,It seems like he is the owner.
আর সে কর্মচারী মালিক না,And that employee is not the owner.
পিছনের দিকে রান্না ঘর আছে,There is a kitchen in the back.
সব লোক অনেক ভাল মনে হচ্ছে,Everyone seems very nice.
আমি তাকে বললাম চাচা চা হবে,"I told him, ""Uncle, would you like some tea?"""
লোক বলল চা হবে না,The man said there will be no tea.
কিন্তু ব্যবস্থা করা দেয়া যাবে,But arrangements can be made.
লোক বলল তার মাকে একটু ডাকো,The man asked to call his mother.
আমি বললাম তুই বিয়ে করলে কেন,I asked why you got married.
সে মনে হয় খুব ভালবাসে,It seems like she loves him very much.
আমি আগে বিয়ে করেছি,I have been married before.
খুব সুন্দরি ছিল আমার বউ,My wife was very beautiful.
ঘর করার পরে একটা নৌকা নিয়ে চলে যায়,"After building the house, they left in a boat."
বিয়ে করি সে পরে তার সাথে চলে যায়,He got married and then left with her.
তারপর আবার বিয়ে করি,Then I will get married again.
একটা চোখ কানা বিধবা বিয়ে করি,I married a one-eyed widow.
সে একটা বছর পরে চলে যায়,She left after a year.
এমন করে সবাই আমাকে ছেড়ে চলে গেছে,Everyone has left me like this.
