Sentence,English Translation, Labels
তুমি সব কিছু সহজে হরতে পারো,You can do everything easily.,Barisal
মুই তোর লইগগ্যা কি আনমু,What should I bring for you?,Barisal
এম্মা করে তো ভেবে দেখি নি,"I didn't think about it,in this way",Narail
আমার জন্যি এক কাপ চা নি আসিয়ানে,Bring me a cup of tea.,Khulna
পোলাডা এক্কেরে দুষ্টামির চূড়ায়,That boy is at the peak of mischief!,Khulna
মোর এহন তোরে ভাললাগে,Now I like you.,Barisal
কি বিপদোত পরনু,What danger am I in?,Rangpur
আজি হামা তোমার বাড়ি যামো,Today we will go to your house.,Rangpur
আমি তোর লগে কাইলকা দেখা করুম,I’ll meet you tomorrow.,Khulna
ক্যানে যে এমতোন করিলু জীবনটা শেষ করিলু,Why did you do this? You’ve ruined your life.,Rangpur
কি করলি ভালো হয় এট্টু বুদ্ধি দেবেন,What would be good to do? Give me some advice.,Khulna
তোমরা হগলে আছো ক্যামন,how are you all,Barisal
মুই তোর সাথে বেরবার যাওয়ার চাং,I want to go for a walk with you.,Rangpur
আলু ভত্তা দিয়া মাখো আর খাও,Mash it with mashed potatoes and eat!,Rangpur
এইহানে আইসা বস তো ছোট্ট,"Sit here, little one.",Narail
তোমাকে ধন্যবাদ,Thank you.,Khulna
মুই দুই ঘন্টা পরে আসিম,I will come in two hours.,Rangpur
মনের খুশিত নাচপের মন চাবার লাগছে,I want to dance with joy!,Rangpur
তোর পরিশ্রম প্রসংশনীয়,Your hard work is commendable.,Rangpur
মাথাটা খুব ঝিমঝিম করছে,My head is very dizzy.,Narail
একটু অল্প করলেই হবে কি কোয়ান,"Just a little would be enough, okay?",Narail
মোরে লগে নেলে,take me with you,Barisal
মুইও পারি বলতে,I can also say it.,Narail
বইটা দেজাস কেন দিন,Why didn’t you give me the book that day,Khulna
তোর দাদা দাদীক মোর সালাম দিবু,Give my regards to your grandfather and grandmother.,Rangpur
সে খুব যত্নশীল বন্ধু,He’s a very caring friend.,Khulna
তুমি কি জানো আইজ কি দিন,Do you know what day it is today?,Narail
এটে অ্যাটে মোর জন্যে অপেকক্ষা কর,Wait for me here.,Rangpur
সুমাইয়া হ্যাগোর কাছে গ্যাছিলো,Sumaiya went to them,Narail
আহা কি মিষ্টি,"Ah, so sweet!",Khulna
মুই মেলা সমস্যায় আছি,do you play with my daughter.,Barisal
কুত্তি মরির গেছিস,You’ve gone to die like a dog,Rangpur
আমাগো এলাকায় খুব গরম,It’s very hot in our area!,Khulna
কর্ডাল গ্রাফ পারফেক্ট গ্রাফের একটি সাবসেট,Chordal graphs are a subset of perfect graphs.,Narail
এহন কাম শুরু হরো,Start working now.,Barisal
মোক জানাইলে খুব ভাল হয়,It would be great if you could tell me.,Rangpur
তোমার ফোনোত কয়টা এপ আছে,How many apps are on your phone?,Rangpur
আমরা আনন্দ খুঁজছিলাম,We were looking for joy.,Narail
তোমরা গুলার কমেন্ট পড়ি মুই খুব মজা পাইনু,I really enjoyed reading your comments.,Rangpur
উইয়াক মোর পছন্দ নাগে না,I don't like him.,Rangpur
আমাগো ভিটাডা খুব পুরান,Our homestead is very old.,Khulna
মোর এত্তি একনা খেয়াল কর,Pay some attention to me.,Rangpur
স্মার্টফোন ব্যবহার করা শিখেছিলাম,.I learned to use a smartphone.,Narail
হেই বুঝতে পারছেন না,"Hey, you don't understand.",Narail
এই কাপড়ডা ধুইয়া দে,Wash these clothes.,Khulna
মোর লইগ্গা কিছু ফল ফাকড়া লইয়া আাইয়েন,Bring some fruit for me?,Barisal
তোর বাহে আইলে কইস,Your father actually says,Barisal
মোর ফোনডা আইন্না দ্যাও,bring my phone,Barisal
তোমার কি কোন পেলান আছেন নাকি,Do you have any plans?,Rangpur
মুই রোংপুর যামু না,I will not go to Rangpur,Barisal
দক্ষিণে ম্যাঘ ম্যাগ হয়েছে অনেক,There has been a lot of rain in the south.,Narail
তুই কি করতি,What are you doing?,Khulna
তোমার আশাতে সবাই আনন্দ পায়,Everyone finds joy in your hopefulness.,Khulna
তর হাতে কুনো কাম নাই,Don’t you have any work?,Khulna
হেইডা নতুন বিয়া করসে,That person just got married.,Khulna
এখানে বসো এবং অপেক্ষা করো,Sit here and wait.,Narail
সে এহন আইব না,He won't come here.,Narail
এই কামডা হরা আ্যাকছের কঠিন,This is very difficult to do.,Barisal
শিক্ষাথীরা কসরত করছিলো,The students were practicing.,Narail
তুই ক্যামোন আছ,How are you?,Barisal
